ok  	github.com/TimLai666/coimnet	17.219s
ok  	github.com/TimLai666/coimnet/backend	2.545s
ok  	github.com/TimLai666/coimnet/checkpoint	16.097s
?   	github.com/TimLai666/coimnet/cmd/coimnet	[no test files]
ok  	github.com/TimLai666/coimnet/config	3.727s
ok  	github.com/TimLai666/coimnet/connectome	7.423s
ok  	github.com/TimLai666/coimnet/connectome/flywire	3.165s
ok  	github.com/TimLai666/coimnet/distill	3.776s
ok  	github.com/TimLai666/coimnet/download	4.831s
ok  	github.com/TimLai666/coimnet/dynamics	4.836s
ok  	github.com/TimLai666/coimnet/examples/lifthreshold	4.211s
ok  	github.com/TimLai666/coimnet/examples/multichannel	3.636s
ok  	github.com/TimLai666/coimnet/examples/realsubgraph	4.614s
ok  	github.com/TimLai666/coimnet/experiment	67.941s
ok  	github.com/TimLai666/coimnet/experiment/gridnav	2.647s
ok  	github.com/TimLai666/coimnet/experiment/nav2d	2.673s
ok  	github.com/TimLai666/coimnet/feather	3.184s
ok  	github.com/TimLai666/coimnet/internal/cli	96.682s
ok  	github.com/TimLai666/coimnet/internal/extsort	2.172s
ok  	github.com/TimLai666/coimnet/internal/fileio	2.217s
ok  	github.com/TimLai666/coimnet/internal/jsonkey	2.418s
ok  	github.com/TimLai666/coimnet/internal/redact	2.600s
ok  	github.com/TimLai666/coimnet/internal/sparse	1.471s
ok  	github.com/TimLai666/coimnet/internal/strictjson	1.834s
ok  	github.com/TimLai666/coimnet/learning	3.334s
ok  	github.com/TimLai666/coimnet/learning/rl	2.787s
ok  	github.com/TimLai666/coimnet/modulation	2.445s
ok  	github.com/TimLai666/coimnet/multimodal	2.646s
ok  	github.com/TimLai666/coimnet/multimodal/synthetic	2.745s
ok  	github.com/TimLai666/coimnet/params	4.184s
ok  	github.com/TimLai666/coimnet/plasticity	2.098s
ok  	github.com/TimLai666/coimnet/replay	2.387s
ok  	github.com/TimLai666/coimnet/resources	2.837s
ok  	github.com/TimLai666/coimnet/signal	3.436s
ok  	github.com/TimLai666/coimnet/simulate	5.936s
ok  	github.com/TimLai666/coimnet/tasks/asr	67.172s
ok  	github.com/TimLai666/coimnet/tasks/asr/audio	3.048s
ok  	github.com/TimLai666/coimnet/tasks/ocr	20.148s
ok  	github.com/TimLai666/coimnet/tasks/ocr/ctc	3.454s
ok  	github.com/TimLai666/coimnet/tasks/ocr/glyphs	3.224s
ok  	github.com/TimLai666/coimnet/tasks/textgen/tokenizer	2.095s
ok  	github.com/TimLai666/coimnet/teacher	1.310s
ok  	github.com/TimLai666/coimnet/teacher/tool	1.946s
