ok  	github.com/TimLai666/coimnet	6.181s
ok  	github.com/TimLai666/coimnet/backend	1.818s
ok  	github.com/TimLai666/coimnet/checkpoint	11.318s
?   	github.com/TimLai666/coimnet/cmd/coimnet	[no test files]
ok  	github.com/TimLai666/coimnet/config	2.485s
ok  	github.com/TimLai666/coimnet/connectome	3.893s
ok  	github.com/TimLai666/coimnet/connectome/flywire	3.080s
ok  	github.com/TimLai666/coimnet/distill	3.393s
ok  	github.com/TimLai666/coimnet/download	3.802s
ok  	github.com/TimLai666/coimnet/dynamics	2.994s
ok  	github.com/TimLai666/coimnet/examples/lifthreshold	2.670s
ok  	github.com/TimLai666/coimnet/examples/multichannel	1.945s
ok  	github.com/TimLai666/coimnet/examples/realsubgraph	2.201s
ok  	github.com/TimLai666/coimnet/experiment	28.037s
ok  	github.com/TimLai666/coimnet/experiment/gridnav	1.898s
ok  	github.com/TimLai666/coimnet/experiment/nav2d	1.955s
ok  	github.com/TimLai666/coimnet/feather	1.997s
ok  	github.com/TimLai666/coimnet/internal/cli	45.956s
ok  	github.com/TimLai666/coimnet/internal/extsort	2.301s
ok  	github.com/TimLai666/coimnet/internal/fileio	2.150s
ok  	github.com/TimLai666/coimnet/internal/jsonkey	2.218s
ok  	github.com/TimLai666/coimnet/internal/redact	2.236s
ok  	github.com/TimLai666/coimnet/internal/sparse	2.148s
ok  	github.com/TimLai666/coimnet/internal/strictjson	1.362s
ok  	github.com/TimLai666/coimnet/learning	2.079s
ok  	github.com/TimLai666/coimnet/learning/rl	1.878s
ok  	github.com/TimLai666/coimnet/modulation	1.843s
ok  	github.com/TimLai666/coimnet/multimodal	1.878s
ok  	github.com/TimLai666/coimnet/multimodal/synthetic	1.873s
ok  	github.com/TimLai666/coimnet/params	2.163s
ok  	github.com/TimLai666/coimnet/plasticity	1.695s
ok  	github.com/TimLai666/coimnet/replay	1.969s
ok  	github.com/TimLai666/coimnet/resources	1.965s
ok  	github.com/TimLai666/coimnet/signal	2.468s
ok  	github.com/TimLai666/coimnet/simulate	3.989s
ok  	github.com/TimLai666/coimnet/tasks/asr	30.181s
ok  	github.com/TimLai666/coimnet/tasks/asr/audio	1.713s
ok  	github.com/TimLai666/coimnet/tasks/ocr	8.239s
ok  	github.com/TimLai666/coimnet/tasks/ocr/ctc	1.968s
ok  	github.com/TimLai666/coimnet/tasks/ocr/glyphs	1.748s
ok  	github.com/TimLai666/coimnet/tasks/textgen/tokenizer	1.365s
ok  	github.com/TimLai666/coimnet/teacher	1.750s
ok  	github.com/TimLai666/coimnet/teacher/tool	1.723s
